ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada No Magnetizada Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri
3749.0	99.550938	98.255521	97.378566	98.087043	97.946478	97.992889	97.207949	97.896015
3748.0	99.556534	98.256442	97.385383	98.100476	97.94053	97.991206	97.223789	97.912341
3747.0	99.566606	98.254696	97.389652	98.10912	97.938402	97.986592	97.240614	97.922988
3746.0	99.576301	98.253381	97.389139	98.112414	97.938125	97.975738	97.254064	97.91741
3745.0	99.581297	98.255545	97.386139	98.113954	97.930909	97.961167	97.259482	97.901669
3744.0	99.585294	98.261367	97.385535	98.119236	97.915485	97.950149	97.253506	97.892715
3743.0	99.588104	98.267521	97.386781	98.120269	97.902306	97.945575	97.23592	97.887577
3742.0	99.585019	98.266218	97.386087	98.106086	97.895642	97.942421	97.214372	97.871681
3741.0	99.576303	98.253176	97.383738	98.082306	97.890379	97.935014	97.197444	97.847246
3740.0	99.568994	98.234103	97.383832	98.06243	97.882312	97.922061	97.1876	97.82642
3739.0	99.570062	98.221433	97.388672	98.054102	97.872406	97.90618	97.182125	97.815124
3738.0	99.57412	98.224498	97.395268	98.053065	97.864521	97.892845	97.175069	97.808534
3737.0	99.567604	98.240958	97.400122	98.048556	97.860074	97.887181	97.163033	97.800086
3736.0	99.551233	98.257355	97.405613	98.036333	97.859013	97.889888	97.150791	97.789029
3735.0	99.54616	98.262666	97.416457	98.026358	97.86352	97.895772	97.14803	97.780719
3734.0	99.567651	98.260628	97.430267	98.032169	97.872537	97.897083	97.159344	97.781293
3733.0	99.6047	98.262208	97.43799	98.054162	97.87828	97.889441	97.178346	97.790187
3732.0	99.634525	98.27107	97.433117	98.077959	97.873481	97.874637	97.1929	97.798326
3731.0	99.646862	98.281378	97.417541	98.087139	97.860124	97.858323	97.197221	97.794683
3730.0	99.648772	98.285131	97.39923	98.077153	97.847219	97.84528	97.196987	97.777368
3729.0	99.65145	98.280122	97.386655	98.057649	97.841409	97.837152	97.201559	97.75799
3728.0	99.65879	98.269961	97.385208	98.042097	97.842754	97.834113	97.212265	97.751402
3727.0	99.667808	98.259863	97.395939	98.038139	97.847345	97.835727	97.220918	97.762654
3726.0	99.673044	98.253446	97.4138	98.04479	97.851598	97.839967	97.218679	97.782322
3725.0	99.668576	98.251363	97.429098	98.054543	97.855142	97.844707	97.204561	97.794696
3724.0	99.652732	98.251136	97.434771	98.059196	97.860898	97.850978	97.185315	97.792162
3723.0	99.631883	98.250074	97.432288	98.055907	97.873131	97.862206	97.169602	97.780907
3722.0	99.617078	98.250572	97.429751	98.049108	97.893506	97.879541	97.162806	97.774493
3721.0	99.615744	98.257906	97.434231	98.044415	97.921331	97.900929	97.163823	97.779883
3720.0	99.626686	98.27344	97.445839	98.043539	97.954374	97.923278	97.167559	97.792358
3719.0	99.642171	98.29224	97.458079	98.045191	97.986357	97.944137	97.169808	97.801968
3718.0	99.653733	98.30605	97.463484	98.047922	98.007352	97.96183	97.170795	97.802604
